"","","","","","","","","","","","",""
"Innbyggere uten fast lege","347","1953","1744","Vestfold og Telemark","Hjartdal","38192020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1880","1742","Viken","Hol","30442020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2036","1747","Trøndelag","Holtålen","50262020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1937","1744","Vestfold og Telemark","Horten","38012020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1798","1740","Møre og Romsdal","Hustadvika","15792020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1847","1742","Viken","Hvaler","30112020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2013","1746","Vestland","Hyllestad","46372020","909","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1982","1745","Agder","Hægebostad","42262020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2014","1746","Vestland","Høyanger","46382020","842","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2053","1747","Trøndelag","Høylandet","50462020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2074","1748","Troms og Finnmark","Ibestad","54132020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2057","1747","Trøndelag","Inderøy","50532020","361","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2058","1747","Trøndelag","Indre Fosen","50542020","2488","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1850","1742","Viken","Indre Østfold","30142020","1059","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1889","1742","Viken","Jevnaker","30532020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2097","1748","Troms og Finnmark","Kárášjohka-Karasjok","54372020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1770","1739","Rogaland","Karmøy","11492020","3485","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2091","1748","Troms og Finnmark","Guovdageaidnu-Kautokeino","54302020","1095","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1986","1746","Vestland","Kinn","46022020","677","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1758","1739","Rogaland","Klepp","11202020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1845","1742","Viken","Kongsberg","30062020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1948","1744","Vestfold og Telemark","Kragerø","38142020","2000","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1963","1745","Agder","Kristiansand","42042020","909","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1773","1740","Møre og Romsdal","Kristiansund","15052020","1270","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1998","1746","Vestland","Kvam","46222020","755","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1993","1746","Vestland","Kvinnherad","46172020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1955","1744","Vestfold og Telemark","Kviteseid","38212020","733","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2072","1748","Troms og Finnmark","Kvæfjord","54112020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2090","1748","Troms og Finnmark","Kvænangen","54292020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1941","1744","Vestfold og Telemark","Larvik","38052020","2718","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2076","1748","Troms og Finnmark","Loabák - Lavangen","54152020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2098","1748","Troms og Finnmark","Lebesby","54382020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1808","1741","Nordland","Leirfjord","18222020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2046","1747","Trøndelag","Levanger","50372020","1979","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1885","1742","Viken","Lier","30492020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2049","1747","Trøndelag","Lierne","50422020","724","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1893","1743","Innlandet","Lillehammer","34052020","690","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1866","1742","Viken","Lillestrøm","30302020","1776","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1964","1745","Agder","Lindesnes","42052020","2861","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2092","1748","Troms og Finnmark","Loppa","54322020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1890","1742","Viken","Lunner","30542020","895","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1816","1741","Nordland","Lurøy","18342020","164","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2020","1746","Vestland","Luster","46442020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1981","1745","Agder","Lyngdal","42252020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2085","1748","Troms og Finnmark","Lyngen","54242020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2018","1746","Vestland","Lærdal","46422020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1826","1741","Nordland","Lødingen","18512020","911","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1865","1742","Viken","Lørenskog","30292020","225","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2010","1746","Vestland","Masfjorden","46342020","367","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2038","1747","Trøndelag","Melhus","50282020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
